TABELA 01;;;;;;;;;;;;;;;(Voltar ao índice)
Mortes violentas intencionais (1);;;;;;;;;;;;;;;
Brasil e Unidades da Federação –  2024-2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Brasil e Unidades da Federação;Crimes Violentos Letais Intencionais - CVLI;;;;;;Policiais Civis e Militares Vítimas de CVLI;;Morte Decorrente de Intervenção Policial (em serviço e fora de serviço);;Mortes Violentas Intencionais - MVI ;;;;
;Homicídio Doloso;;Latrocínio;;Lesão Corporal Seguida de Morte;;;;;;;;;;
;;;;;;;;;;;;;;;
;Ns. Absolutos;;Ns. Absolutos;;Ns. Absolutos;;Ns. Absolutos;;Ns. Absolutos;;Ns. Absolutos;;Taxa (2);;Variação (%)
;2024 (3);2025;2024 (3);2025;2024 (3);2025;2024 (3);2025;2024 (3);2025;2024 (3);2025;2024 (3);2025;
;;;;;;;;;;;;;;;
Brasil;36 440;32 914;969;807;774;659;144;139;6 237;6 602;44 220;40 775;20,8;19,1;-8,2
;;;;;;;;;;;;;;;
Acre;165;175;1;6;3;1;-;-;10;9;179;191;20,3;21,6;6,3
Alagoas;1 054;934;6;6;6;10;4;-;75;116;1 141;1 066;35,4;33,1;-6,6
Amapá;219;195;4;4;3;6;-;1;137;138;363;343;45,2;42,5;-5,9
Amazonas;1 084;728;22;17;24;14;2;2;43;40;1 173;799;27,4;18,5;-32,5
Bahia;4 317;3 765;75;60;99;78;11;3;1556;1570;6 047;5 473;40,7;36,8;-9,6
Ceará;3 225;2 976;41;25;12;22;12;4;189;197;3 467;3 220;37,5;34,7;-7,5
Distrito Federal;233;253;8;13;14;7;1;-;15;14;270;287;9,1;9,6;5,8
Espírito Santo;856;796;39;25;11;13;-;-;78;73;984;907;24;22;-8,4
Goiás;959;813;19;19;35;28;2;2;373;362;1 386;1 222;18,9;16,5;-12,7
Maranhão;1 982;1 865;61;60;7;17;4;7;76;140;2 126;2 082;30,3;29,7;-2,2
Mato Grosso;902;728;20;15;6;5;2;-;214;142;1 142;890;29,8;22,9;-23,2
Mato Grosso do Sul;454;486;22;13;16;17;1;-;67;75;559;591;19,3;20,2;4,9
Minas Gerais (4);3 134;2 698;56;44;29;28;5;4;200;207;3 219;2 770;15,1;12,9;-14,2
Pará;1 856;1 746;67;66;38;33;17;15;598;632;2 559;2 477;29,5;28,4;-3,7
Paraíba;981;936;16;20;8;9;2;3;55;58;1 060;1 023;25,6;24,6;-3,9
Paraná;1 663;1 270;46;44;61;48;2;-;400;482;2 170;1 844;18,4;15,5;-15,5
Pernambuco;3 287;2 970;78;58;31;28;4;5;78;103;3 474;3 159;36,4;33;-9,3
Piauí;626;526;19;15;10;9;4;2;30;29;685;579;20,3;17,1;-15,7
Rio de Janeiro;2 938;2 949;99;77;69;66;28;51;703;798;3 809;3 890;22,1;22,6;2,1
Rio Grande do Norte;655;843;23;15;71;12;1;2;91;137;840;1 007;24,4;29,1;19,6
Rio Grande do Sul;1 491;1 117;31;30;35;43;5;4;147;76;1 704;1 266;15,2;11,3;-25,7
Rondônia;433;439;10;5;6;2;-;1;8;47;457;493;26,2;28,1;7,5
Roraima;115;128;6;5;4;8;-;2;7;3;132;144;18,4;19,5;5,8
Santa Catarina;564;479;17;19;29;24;1;-;79;100;689;622;8,6;7,6;-11,1
São Paulo (5);2 630;2 527;170;131;138;122;32;30;813;835;3 751;3 615;8,2;7,8;-3,9
Sergipe;365;303;7;7;5;5;-;-;145;193;522;508;22,8;22,1;-3
Tocantins;252;269;6;8;4;4;4;1;50;26;312;307;19,8;19,3;-2,2
;;;;;;;;;;;;;;;
"Fonte: Secretarias Estaduais de Segurança Pública e/ou Defesa Social; Instituto de Segurança Pública/RJ (ISP); Polícia Civil do Estado do Acre; Polícia Civil do Distrito Federal; Polícia Civil do Estado de Goiás; Polícia Civil do Estado do Mato Grosso; Polícia Civil do Estado de Minas Gerais; Polícia Civil do Estado de Roraima; Polícia Militar do Estado de Goiás; Polícia Militar do Estado do Mato Grosso; Polícia Militar do Estado de Minas Gerais; IBGE - Estimativas da população residente no Brasil e Unidades da Federação com data de referência em 1º de julho de cada ano; Fórum Brasileiro de Segurança Pública.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(-) Fenômeno Inexistente.;;;;;;;;;;;;;;;
(1) A categoria Mortes Violentas Intencionais (MVI) corresponde à soma das vítimas de homicídio doloso, latrocínio, lesão corporal seguida de morte e mortes decorrentes de intervenções policiais em serviço e fora (em alguns casos, contabilizadas dentro dos homicídios dolosos, conforme notas explicativas). Sendo assim, a categoria MVI representa o total de vítimas de mortes violentas com intencionalidade definida de determinado território. O número de policiais mortos já está contido no total de homicídios dolosos e é aqui apresentado apenas para mensuração do fenômeno.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(2) Taxa por 100 mil habitantes.;;;;;;;;;;;;;;;
(3) Atualização das informações publicadas no Anuário Brasileiro de Segurança Pública, ano 19, 2025.;;;;;;;;;;;;;;;
(4) A categoria homicídio doloso inclui as mortes decorrentes de intervenções policiais.;;;;;;;;;;;;;;;
(5) O estado de São Paulo publica somente os dados de ocorrências de lesão corporal seguida de morte em ambos os anos. Para o dado referente ao número de vítimas de lesão corporal seguida de morte, foi considerado o dado de ocorrências deste crime.;;;;;;;;;;;;;;;
