TABELA 06;;;;;;;;;;;;;(Voltar ao índice)
Policiais Civis e Militares vítimas de CVLI, em serviço e fora de serviço (1);;;;;;;;;;;;;
Brasil e Unidades da Federação –  2024-2025;;;;;;;;;;;;;
;;;;;;;;;;;;;
Brasil e Unidades da Federação;Policiais Civis mortos em confronto em serviço ;;Policiais Militares mortos em confronto em serviço ;;Policiais Civis mortos em confronto ou por lesão não natural fora de serviço ;;Policiais Militares mortos em confronto ou por lesão não natural fora de serviço ;;Total;;;;
;Ns. Absolutos;;Ns. Absolutos;;Ns. Absolutos;;Ns. Absolutos;;Ns. Absolutos;;Taxa (2) (3);;Variação (%)
;2024 (4);2025;2024 (4);2025;2024 (4);2025;2024 (4);2025;2024 (4);2025;2024 (4);2025;
;;;;;;;;;;;;;
Brasil;1;8;31;21;8;13;76;46;144;139;0,28;0,27;-3,5
;;;;;;;;;;;;;
Acre;-;-;-;-;-;-;-;-;-;-;-;-;-
Alagoas;-;-;2;-;-;-;2;-;4;-;0,41;-;-100,0
Amapá;-;1;-;-;-;-;-;-;-;1;-;0,22;-
Amazonas;-;-;1;-;-;-;1;2;2;2;0,19;0,19;-
Bahia;1;-;-;-;1;1;9;2;11;3;0,31;0,08;-72,7
Ceará;-;-;2;1;-;1;10;2;12;4;0,48;0,16;-66,7
Distrito Federal;-;-;1;-;-;-;-;-;1;-;0,07;-;-100,0
Espírito Santo;-;-;-;-;-;-;-;-;-;-;-;-;-
Goiás;-;1;-;1;...;...;2;-;2;2;0,13;0,13;-
Maranhão;-;1;-;2;-;-;4;4;4;7;0,31;0,55;75,0
Mato Grosso;-;-;1;-;-;-;1;-;2;-;0,20;-;-100,0
Mato Grosso do Sul;-;-;-;-;-;-;1;-;1;-;0,14;-;-100,0
Minas Gerais;-;-;2;1;-;-;3;3;5;4;0,11;0,09;-20,0
Pará;-;-;1;2;1;2;15;11;17;15;0,90;0,79;-11,8
Paraíba;-;-;1;-;-;-;1;3;2;3;0,18;0,27;50,0
Paraná;-;-;-;-;-;-;2;-;2;-;0,10;-;-100,0
Pernambuco;-;-;-;-;1;1;3;4;4;5;0,20;0,25;25,0
Piauí;-;-;-;-;-;-;4;2;4;2;0,49;0,24;-50,0
Rio de Janeiro (5);...;...;...;...;...;...;...;...;28;51;0,57;1,04;82,1
Rio Grande do Norte;-;-;-;-;-;-;1;2;1;2;0,09;0,18;100,0
Rio Grande do Sul;-;1;5;1;-;2;-;-;5;4;0,21;0,17;-20,0
Rondônia;-;-;-;-;-;-;-;1;-;1;-;0,16;-
Roraima;-;-;-;-;-;-;-;2;-;2;-;0,60;-
Santa Catarina;-;-;1;-;-;-;-;-;1;-;0,08;-;-100,0
São Paulo;-;3;14;13;5;6;13;8;32;30;0,31;0,29;-6,3
Sergipe;-;-;-;-;-;-;-;-;-;-;-;-;-
Tocantins;-;1;-;-;-;-;4;-;4;1;0,95;0,24;-75,0
;;;;;;;;;;;;;
"Fonte: Secretarias Estaduais de Segurança Pública e/ou Defesa Social; Instituto de Segurança Pública/RJ (ISP); Polícia Civil do Estado do Acre; Polícia Civil do Distrito Federal; Polícia Civil do Estado de Goiás; Polícia Civil do Estado do Mato Grosso; Polícia Civil do Estado de Minas Gerais; Polícia Civil do Estado de Roraima; Polícia Militar do Estado de Goiás; Polícia Militar do Estado do Mato Grosso; Polícia Militar do Estado de Minas Gerais; Pesquisa Perfil das Instituições de Segurança Pública 2025 (ano-base 2024); Ministério da Justiça e Segurança Pública; Fórum Brasileiro de Segurança Pública.";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
(-) Fenômeno Inexistente.;;;;;;;;;;;;;
(...) Informação não disponível.;;;;;;;;;;;;;
(1) Considera policiais da ativa mortos em confronto ou por lesão não natural (homicídios, latrocínios e/ou lesão corporal seguida de morte), descartando-se casos de acidente de trânsito e suicídio.;;;;;;;;;;;;;
(2) Por grupo de mil policiais da ativa.;;;;;;;;;;;;;
(3) Para o cálculo das taxas de vitimização por mil policiais da ativa, foram considerados os efetivos totais das Polícias Civis e Militares informados pelas Unidades da Federação ao Ministério da Justiça e Segurança Pública através da Pesquisa Perfil das Instituições de Segurança Pública 2025 (ano-base 2024). O dado referente a 2024 foi utilizado para o cálculo das taxas de ambos os anos, uma vez que este é o dado mais recente disponível da Pesquisa Perfil.;;;;;;;;;;;;;
;;;;;;;;;;;;;
(4) Atualização das informações publicadas no Anuário Brasileiro de Segurança Pública, ano 19, 2025.;;;;;;;;;;;;;
(5) No Rio de Janeiro, o número refere-se ao total de policiais civis e militares mortos por letalidade violenta em ambos os anos. Em 2024, foram 28 policiais miliares e nenhum policial civil morto. Já em 2025, foram 42 policiais miliares e 9 policiais civis mortos.;;;;;;;;;;;;;
;;;;;;;;;;;;;
