policiais_civis_servico_2024,policiais_civis_servico_2025,policiais_militares_servico_2024,policiais_militares_servico_2025,policiais_civis_fora_servico_2024,policiais_civis_fora_servico_2025,policiais_militares_fora_servico_2024,policiais_militares_fora_servico_2025,total_cvli_2024,total_cvli_2025,taxa_cvli_2024,taxa_cvli_2025,variacao_pct,location
1.0,8.0,31.0,21.0,8.0,13.0,76.0,46.0,144.0,139.0,0.28,0.27,-3.5,Brasil
,,,,,,,,,,,,,Acre
,,2.0,,,,2.0,,4.0,,0.41,,-100.0,Alagoas
,1.0,,,,,,,,1.0,,0.22,,Amap
,,1.0,,,,1.0,2.0,2.0,2.0,0.19,0.19,,Amazonas
1.0,,,,1.0,1.0,9.0,2.0,11.0,3.0,0.31,0.08,-72.7,Bahia
,,2.0,1.0,,1.0,10.0,2.0,12.0,4.0,0.48,0.16,-66.7,Cear
,,1.0,,,,,,1.0,,0.07,,-100.0,Distrito Federal
,,,,,,,,,,,,,Esprito Santo
,1.0,,1.0,,,2.0,,2.0,2.0,0.13,0.13,,Gois
,1.0,,2.0,,,4.0,4.0,4.0,7.0,0.31,0.55,75.0,Maranho
,,1.0,,,,1.0,,2.0,,0.2,,-100.0,Mato Grosso
,,,,,,1.0,,1.0,,0.14,,-100.0,Mato Grosso do Sul
,,2.0,1.0,,,3.0,3.0,5.0,4.0,0.11,0.09,-20.0,Minas Gerais
,,1.0,2.0,1.0,2.0,15.0,11.0,17.0,15.0,0.9,0.79,-11.8,Par
,,1.0,,,,1.0,3.0,2.0,3.0,0.18,0.27,50.0,Paraba
,,,,,,2.0,,2.0,,0.1,,-100.0,Paran
,,,,1.0,1.0,3.0,4.0,4.0,5.0,0.2,0.25,25.0,Pernambuco
,,,,,,4.0,2.0,4.0,2.0,0.49,0.24,-50.0,Piau
,,,,,,,,28.0,51.0,0.57,1.04,82.1,Rio de Janeiro
,,,,,,1.0,2.0,1.0,2.0,0.09,0.18,100.0,Rio Grande do Norte
,1.0,5.0,1.0,,2.0,,,5.0,4.0,0.21,0.17,-20.0,Rio Grande do Sul
,,,,,,,1.0,,1.0,,0.16,,Rondnia
,,,,,,,2.0,,2.0,,0.6,,Roraima
,,1.0,,,,,,1.0,,0.08,,-100.0,Santa Catarina
,3.0,14.0,13.0,5.0,6.0,13.0,8.0,32.0,30.0,0.31,0.29,-6.3,So Paulo
,,,,,,,,,,,,,Sergipe
,1.0,,,,,4.0,,4.0,1.0,0.95,0.24,-75.0,Tocantins
