homicidio_doloso_2024,homicidio_doloso_2025,latrocinio_2024,latrocinio_2025,lesao_corporal_morte_2024,lesao_corporal_morte_2025,policiais_vitimas_2024,policiais_vitimas_2025,intervencao_policial_2024,intervencao_policial_2025,mvi_absoluto_2024,mvi_absoluto_2025,mvi_taxa_2024,mvi_taxa_2025,mvi_variacao_pct,location
36440.0,32914.0,969.0,807.0,774.0,659.0,144.0,139.0,6237.0,6602.0,44220.0,40775.0,20.8,19.1,-8.2,Brasil
165.0,175.0,1.0,6.0,3.0,1.0,,,10.0,9.0,179.0,191.0,20.3,21.6,6.3,Acre
1054.0,934.0,6.0,6.0,6.0,10.0,4.0,,75.0,116.0,1141.0,1066.0,35.4,33.1,-6.6,Alagoas
219.0,195.0,4.0,4.0,3.0,6.0,,1.0,137.0,138.0,363.0,343.0,45.2,42.5,-5.9,Amapá
1084.0,728.0,22.0,17.0,24.0,14.0,2.0,2.0,43.0,40.0,1173.0,799.0,27.4,18.5,-32.5,Amazonas
4317.0,3765.0,75.0,60.0,99.0,78.0,11.0,3.0,1556.0,1570.0,6047.0,5473.0,40.7,36.8,-9.6,Bahia
3225.0,2976.0,41.0,25.0,12.0,22.0,12.0,4.0,189.0,197.0,3467.0,3220.0,37.5,34.7,-7.5,Ceará
233.0,253.0,8.0,13.0,14.0,7.0,1.0,,15.0,14.0,270.0,287.0,9.1,9.6,5.8,Distrito Federal
856.0,796.0,39.0,25.0,11.0,13.0,,,78.0,73.0,984.0,907.0,24.0,22.0,-8.4,Espírito Santo
959.0,813.0,19.0,19.0,35.0,28.0,2.0,2.0,373.0,362.0,1386.0,1222.0,18.9,16.5,-12.7,Goiás
1982.0,1865.0,61.0,60.0,7.0,17.0,4.0,7.0,76.0,140.0,2126.0,2082.0,30.3,29.7,-2.2,Maranhão
902.0,728.0,20.0,15.0,6.0,5.0,2.0,,214.0,142.0,1142.0,890.0,29.8,22.9,-23.2,Mato Grosso
454.0,486.0,22.0,13.0,16.0,17.0,1.0,,67.0,75.0,559.0,591.0,19.3,20.2,4.9,Mato Grosso do Sul
3134.0,2698.0,56.0,44.0,29.0,28.0,5.0,4.0,200.0,207.0,3219.0,2770.0,15.1,12.9,-14.2,Minas Gerais
1856.0,1746.0,67.0,66.0,38.0,33.0,17.0,15.0,598.0,632.0,2559.0,2477.0,29.5,28.4,-3.7,Pará
981.0,936.0,16.0,20.0,8.0,9.0,2.0,3.0,55.0,58.0,1060.0,1023.0,25.6,24.6,-3.9,Paraíba
1663.0,1270.0,46.0,44.0,61.0,48.0,2.0,,400.0,482.0,2170.0,1844.0,18.4,15.5,-15.5,Paraná
3287.0,2970.0,78.0,58.0,31.0,28.0,4.0,5.0,78.0,103.0,3474.0,3159.0,36.4,33.0,-9.3,Pernambuco
626.0,526.0,19.0,15.0,10.0,9.0,4.0,2.0,30.0,29.0,685.0,579.0,20.3,17.1,-15.7,Piauí
2938.0,2949.0,99.0,77.0,69.0,66.0,28.0,51.0,703.0,798.0,3809.0,3890.0,22.1,22.6,2.1,Rio de Janeiro
655.0,843.0,23.0,15.0,71.0,12.0,1.0,2.0,91.0,137.0,840.0,1007.0,24.4,29.1,19.6,Rio Grande do Norte
1491.0,1117.0,31.0,30.0,35.0,43.0,5.0,4.0,147.0,76.0,1704.0,1266.0,15.2,11.3,-25.7,Rio Grande do Sul
433.0,439.0,10.0,5.0,6.0,2.0,,1.0,8.0,47.0,457.0,493.0,26.2,28.1,7.5,Rondônia
115.0,128.0,6.0,5.0,4.0,8.0,,2.0,7.0,3.0,132.0,144.0,18.4,19.5,5.8,Roraima
564.0,479.0,17.0,19.0,29.0,24.0,1.0,,79.0,100.0,689.0,622.0,8.6,7.6,-11.1,Santa Catarina
2630.0,2527.0,170.0,131.0,138.0,122.0,32.0,30.0,813.0,835.0,3751.0,3615.0,8.2,7.8,-3.9,São Paulo
365.0,303.0,7.0,7.0,5.0,5.0,,,145.0,193.0,522.0,508.0,22.8,22.1,-3.0,Sergipe
252.0,269.0,6.0,8.0,4.0,4.0,4.0,1.0,50.0,26.0,312.0,307.0,19.8,19.3,-2.2,Tocantins
