location_id,metric_id,year,value
1,1,2024,36440.0
1,2,2024,969.0
1,3,2024,774.0
1,4,2024,144.0
1,5,2024,6237.0
1,6,2024,44220.0
1,7,2024,20.8
1,1,2025,32914.0
1,2,2025,807.0
1,3,2025,659.0
1,4,2025,139.0
1,5,2025,6602.0
1,6,2025,40775.0
1,7,2025,19.1
2,1,2024,165.0
2,2,2024,1.0
2,3,2024,3.0
2,4,2024,
2,5,2024,10.0
2,6,2024,179.0
2,7,2024,20.3
2,1,2025,175.0
2,2,2025,6.0
2,3,2025,1.0
2,4,2025,
2,5,2025,9.0
2,6,2025,191.0
2,7,2025,21.6
3,1,2024,1054.0
3,2,2024,6.0
3,3,2024,6.0
3,4,2024,4.0
3,5,2024,75.0
3,6,2024,1141.0
3,7,2024,35.4
3,1,2025,934.0
3,2,2025,6.0
3,3,2025,10.0
3,4,2025,
3,5,2025,116.0
3,6,2025,1066.0
3,7,2025,33.1
4,1,2024,219.0
4,2,2024,4.0
4,3,2024,3.0
4,4,2024,
4,5,2024,137.0
4,6,2024,363.0
4,7,2024,45.2
4,1,2025,195.0
4,2,2025,4.0
4,3,2025,6.0
4,4,2025,1.0
4,5,2025,138.0
4,6,2025,343.0
4,7,2025,42.5
5,1,2024,1084.0
5,2,2024,22.0
5,3,2024,24.0
5,4,2024,2.0
5,5,2024,43.0
5,6,2024,1173.0
5,7,2024,27.4
5,1,2025,728.0
5,2,2025,17.0
5,3,2025,14.0
5,4,2025,2.0
5,5,2025,40.0
5,6,2025,799.0
5,7,2025,18.5
6,1,2024,4317.0
6,2,2024,75.0
6,3,2024,99.0
6,4,2024,11.0
6,5,2024,1556.0
6,6,2024,6047.0
6,7,2024,40.7
6,1,2025,3765.0
6,2,2025,60.0
6,3,2025,78.0
6,4,2025,3.0
6,5,2025,1570.0
6,6,2025,5473.0
6,7,2025,36.8
7,1,2024,3225.0
7,2,2024,41.0
7,3,2024,12.0
7,4,2024,12.0
7,5,2024,189.0
7,6,2024,3467.0
7,7,2024,37.5
7,1,2025,2976.0
7,2,2025,25.0
7,3,2025,22.0
7,4,2025,4.0
7,5,2025,197.0
7,6,2025,3220.0
7,7,2025,34.7
8,1,2024,233.0
8,2,2024,8.0
8,3,2024,14.0
8,4,2024,1.0
8,5,2024,15.0
8,6,2024,270.0
8,7,2024,9.1
8,1,2025,253.0
8,2,2025,13.0
8,3,2025,7.0
8,4,2025,
8,5,2025,14.0
8,6,2025,287.0
8,7,2025,9.6
9,1,2024,856.0
9,2,2024,39.0
9,3,2024,11.0
9,4,2024,
9,5,2024,78.0
9,6,2024,984.0
9,7,2024,24.0
9,1,2025,796.0
9,2,2025,25.0
9,3,2025,13.0
9,4,2025,
9,5,2025,73.0
9,6,2025,907.0
9,7,2025,22.0
10,1,2024,959.0
10,2,2024,19.0
10,3,2024,35.0
10,4,2024,2.0
10,5,2024,373.0
10,6,2024,1386.0
10,7,2024,18.9
10,1,2025,813.0
10,2,2025,19.0
10,3,2025,28.0
10,4,2025,2.0
10,5,2025,362.0
10,6,2025,1222.0
10,7,2025,16.5
11,1,2024,1982.0
11,2,2024,61.0
11,3,2024,7.0
11,4,2024,4.0
11,5,2024,76.0
11,6,2024,2126.0
11,7,2024,30.3
11,1,2025,1865.0
11,2,2025,60.0
11,3,2025,17.0
11,4,2025,7.0
11,5,2025,140.0
11,6,2025,2082.0
11,7,2025,29.7
12,1,2024,902.0
12,2,2024,20.0
12,3,2024,6.0
12,4,2024,2.0
12,5,2024,214.0
12,6,2024,1142.0
12,7,2024,29.8
